Name,Diameter
Ceres,848.4
Pallas,498.1
Juno,233.9
Vesta,468.3
Astraea,119.1
Hebe,185.2
Iris,199.8
Flora,135.9
Hygiea,407.1
Parthenope,153.3
Victoria,112.8
Egeria,207.6
Eunomia,255.3
Psyche,253.2
Thetis,90.0
Melpomene,140.6
Massalia,145.5
Lutetia,95.8
Kalliope,181.0
Thalia,107.5
Phocaea,75.1
Proserpina,95.1
Bellona,120.9
Amphitrite,212.2
Urania,99.7
Euphrosyne,255.9
Pomona,80.8
Circe,113.5
Leukothea,103.1
Atalante,105.6
Fides,108.3
Leda,115.9
Laetitia,149.5
Harmonia,107.6
Daphne,174.0
Isis,100.2
Ariadne,65.9
Nysa,70.6
Eugenia,214.6
Hestia,124.1
Aglaja,127.0
Doris,221.8
Pales,149.8
Virginia,99.8
Nemausa,147.9
Europa,302.5
Kalypso,115.4
Alexandra,165.8
Pandora,66.7
Melete,113.2
Mnemosyne,112.6
Concordia,93.4
Elpis,164.8
Echo,60.2
Danae,82.0
Erato,95.4
Ausonia,103.1
Cybele,237.3
Maja,72.8
Asia,58.1
Leto,122.6
Hesperia,138.1
Panopaea,122.2
Niobe,83.4
Feronia,86.1
Klytia,44.4
Galatea,118.7
Eurydike,55.7
Freia,183.7
Frigga,69.2
Diana,120.6
Eurynome,66.5
Sappho,78.4
Terpsichore,119.1
Alkmene,61.0
Beatrix,81.4
Klio,79.2
Io,154.8
Semele,120.6
Sylvia,260.9
Thisbe,200.6
Julia,151.5
Antiope,120.1
Aegina,109.8
Undina,126.4
Minerva,141.0
Aurora,204.9
Arethusa,136.0
Aegle,169.9
Klotho,82.8
Ianthe,104.5
Dike,71.9
Hekate,88.7
Helena,65.8
Miriam,83.0
Hera,91.2
Klymene,123.7
Artemis,119.1
Dione,146.6
Camilla,222.6
Hecuba,65.0
Felicitas,89.4
Lydia,86.1
Ate,134.6
Iphigenia,72.2
Amalthea,46.1
Kassandra,99.6
Thyra,79.8
Sirona,71.7
Lomia,148.7
Peitho,41.7
Althaea,57.3
Lachesis,174.1
Hermione,209.0
Gerda,81.7
Brunhild,48.0
Alkeste,76.4
Liberatrix,43.6
Velleda,44.8
Nemesis,188.2
Antigone,125.0
Elektra,182.3
Vala,40.4
Aethra,42.7
Cyrene,66.6
Sophrosyne,123.3
Hertha,79.2
Austria,40.1
Meliboea,145.4
Tolosa,45.5
Juewa,156.6
Siwa,109.8
Lumen,131.0
Polana,55.3
Adria,89.9
Vibilia,141.8
Adeona,151.1
Lucina,132.2
Protogeneia,132.9
Gallia,97.7
Medusa,19.7
Nuwa,151.1
Abundantia,45.4
Hilda,170.6
Bertha,184.9
Scylla,49.5
Xanthippe,121.0
Dejanira,19.1
Koronis,35.4
Aemilia,125.0
Una,81.2
Athor,44.2
Laurentia,99.1
Erigone,72.6
Eva,104.9
Loreley,155.2
Urda,39.9
Sibylla,148.4
Zelia,33.6
Maria,44.3
Ophelia,116.7
Baucis,62.4
Ino,154.1
Phaedra,69.2
Andromache,100.9
Iduna,121.0
Irma,73.2
Belisana,35.8
Klytaemnestra,77.7
Garumna,32.7
Eucharis,106.0
Elsa,43.7
Istria,35.4
Dejopeja,66.5
Eunike,157.5
Celuta,50.0
Lamberta,131.2
Menippe,38.6
Phthia,37.7
Kolga,101.0
Nausikaa,103.3
Prokne,168.4
Eurykleia,85.7
Philomela,136.3
Arete,29.2
Ampella,57.2
Byblis,63.0
Dynamene,128.4
Penelope,68.4
Chryseis,86.2
Pompeja,116.3
Kallisto,48.6
Martha,80.9
Hedda,58.7
Lacrimosa,41.3
Dido,159.9
Isabella,86.7
Isolda,143.2
Medea,136.1
Lilaea,83.0
Aschera,23.2
Oenone,35.5
Kleopatra,135.1
Eudora,66.2
Bianca,60.6
Thusnelda,40.6
Stephania,31.1
Eos,103.9
Lucia,54.9
Rosa,87.6
Oceana,61.8
Henrietta,120.5
Weringia,33.8
Philosophia,87.3
Agathe,9.3
Adelinda,93.2
Athamantis,109.0
Vindobona,82.3
Russia,53.3
Asterope,102.8
Barbara,43.8
Carolina,57.6
Honoria,86.2
Coelestina,41.1
Hypatia,148.5
Adrastea,41.5
Vanadis,103.9
Germania,168.9
Kriemhild,38.3
Ida,28.0
Sita,10.9
Vera,79.5
Asporina,60.1
Eukrate,134.4
Lameia,48.7
Ilse,34.8
Bettina,79.8
Sophia,28.4
Clementina,69.3
Mathilde,58.0
Augusta,12.1
Oppavia,57.4
Walpurga,63.3
Silesia,72.7
Tyche,64.8
Aletheia,178.6
Huberta,94.7
Prymno,50.9
Dresda,23.2
Libussa,50.5
Anna,23.7
Aline,109.1
Tirza,52.7
Adorea,139.9
Justitia,53.6
Anahita,50.8
Penthesilea,57.9
Antonia,25.4
Atropos,29.3
Philagoria,26.6
Sapientia,121.0
Adelheid,121.6
Elvira,27.2
Paulina,35.0
Thule,126.6
Philia,45.5
Lucretia,11.8
Clorinde,39.0
Emma,148.1
Amalia,53.1
Regina,45.1
Iclea,96.9
Nephthys,67.6
Glauke,32.2
Nenetta,33.7
Alice,15.0
Ludovica,31.9
Brasilia,55.1
Felicia,53.0
Theresia,27.7
Caecilia,39.5
Thora,17.1
Geraldina,80.2
Bavaria,54.3
Clarissa,38.5
Josephina,99.3
Olga,67.9
Gordonia,49.2
Unitas,46.7
Nike,55.0
